DATE,CUSR0000SAH21
2019-01-01,200.772
2019-02-01,200.093
2019-03-01,200.864
2019-04-01,200.675
2019-05-01,200.128
2019-06-01,199.282
2019-07-01,199.597
2019-08-01,199.272
2019-09-01,198.831
2019-10-01,200.283
2019-11-01,200.551
2019-12-01,200.202
2020-01-01,200.101
2020-02-01,199.478
2020-03-01,198.386
2020-04-01,197.745
2020-05-01,197.314
2020-06-01,197.762
2020-07-01,197.845
2020-08-01,197.717
2020-09-01,199.949
2020-10-01,200.978
2020-11-01,202.867
2020-12-01,203.537
2021-01-01,203.381
2021-02-01,206.154
2021-03-01,207.670
2021-04-01,210.304
