Report Date,Choice 600-900,Select 600-900
06/02/2021,5.60,5.43
06/01/2021,3.59,5.55
05/28/2021,.99,-3.20
05/27/2021,.49,.05
05/26/2021,-.43,-.21
05/25/2021,2.09,.87
05/24/2021,2.66,1.08
05/21/2021,.99,.70
05/20/2021,.80,1.92
05/19/2021,.04,.64
05/18/2021,3.72,2.16
05/17/2021,2.68,3.70
05/14/2021,.16,-2.72
05/13/2021,1.70,-1.25
05/12/2021,2.71,.82
05/11/2021,3.26,2.58
05/10/2021,3.23,3.49
05/07/2021,-.49,.91
05/06/2021,1.59,3.18
05/05/2021,3.56,2.27
05/04/2021,1.92,.12
05/03/2021,2.80,.74
