DATE,CUUR0000SA0R
1913-01-01,1017.800
1913-02-01,1021.400
1913-03-01,1021.400
1913-04-01,1017.800
1913-05-01,1025.000
1913-06-01,1021.400
1913-07-01,1011.000
1913-08-01,1004.400
1913-09-01,1000.800
1913-10-01,994.200
1913-11-01,990.900
1913-12-01,994.200
1914-01-01,994.200
1914-02-01,1004.400
1914-03-01,1007.700
1914-04-01,1017.800
1914-05-01,1011.000
1914-06-01,1004.400
1914-07-01,994.200
1914-08-01,981.300
1914-09-01,978.000
1914-10-01,984.300
1914-11-01,981.300
1914-12-01,984.300
1915-01-01,987.600
1915-02-01,994.200
1915-03-01,1004.400
1915-04-01,994.200
1915-05-01,990.900
1915-06-01,987.600
1915-07-01,987.600
1915-08-01,987.600
1915-09-01,984.300
1915-10-01,974.700
1915-11-01,968.500
1915-12-01,965.500
1916-01-01,956.200
1916-02-01,956.200
1916-03-01,947.200
1916-04-01,938.200
1916-05-01,935.200
1916-06-01,923.600
1916-07-01,923.600
1916-08-01,912.500
1916-09-01,896.000
1916-10-01,885.600
1916-11-01,870.000
1916-12-01,864.900
1917-01-01,855.000
1917-02-01,835.900
1917-03-01,831.400
1917-04-01,796.100
1917-05-01,779.300
1917-06-01,771.200
1917-07-01,779.300
1917-08-01,767.300
1917-09-01,753.900
1917-10-01,740.700
1917-11-01,738.900
1917-12-01,729.900
1918-01-01,715.900
1918-02-01,709.300
1918-03-01,712.600
1918-04-01,704.200
1918-05-01,691.000
1918-06-01,678.800
1918-07-01,662.000
1918-08-01,650.600
1918-09-01,635.400
1918-10-01,624.900
1918-11-01,614.400
1918-12-01,605.700
1919-01-01,604.500
1919-02-01,618.300
1919-03-01,610.800
1919-04-01,599.800
1919-05-01,591.400
1919-06-01,590.200
1919-07-01,574.300
1919-08-01,564.700
1919-09-01,561.400
1919-10-01,552.200
1919-11-01,539.300
1919-12-01,527.900
1920-01-01,517.700
1920-02-01,511.500
1920-03-01,506.400
1920-04-01,492.300
1920-05-01,484.200
1920-06-01,477.300
1920-07-01,480.300
1920-08-01,492.900
1920-09-01,498.900
1920-10-01,501.300
1920-11-01,504.600
1920-12-01,516.000
1921-01-01,524.900
1921-02-01,542.300
1921-03-01,546.200
1921-04-01,553.100
1921-05-01,563.500
1921-06-01,566.800
1921-07-01,565.600
1921-08-01,563.500
1921-09-01,570.100
1921-10-01,571.000
1921-11-01,574.300
1921-12-01,577.900
1922-01-01,590.200
1922-02-01,591.400
1922-03-01,598.600
1922-04-01,598.600
1922-05-01,598.600
1922-06-01,597.400
1922-07-01,596.200
1922-08-01,602.100
1922-09-01,600.900
1922-10-01,597.400
1922-11-01,595.000
1922-12-01,592.600
1923-01-01,595.000
1923-02-01,596.200
1923-03-01,593.800
1923-04-01,591.400
1923-05-01,590.200
1923-06-01,586.900
1923-07-01,581.200
1923-08-01,583.300
1923-09-01,580.000
1923-10-01,578.800
1923-11-01,577.900
1923-12-01,577.900
1924-01-01,578.800
1924-02-01,581.200
1924-03-01,584.500
1924-04-01,586.900
1924-05-01,586.900
1924-06-01,586.900
1924-07-01,585.700
1924-08-01,586.900
1924-09-01,584.500
1924-10-01,582.400
1924-11-01,580.000
1924-12-01,578.800
1925-01-01,577.900
1925-02-01,580.000
1925-03-01,578.800
1925-04-01,580.000
1925-05-01,577.900
1925-06-01,571.000
1925-07-01,563.500
1925-08-01,563.500
1925-09-01,565.600
1925-10-01,563.500
1925-11-01,554.300
1925-12-01,557.300
1926-01-01,557.300
1926-02-01,559.300
1926-03-01,562.600
1926-04-01,557.300
1926-05-01,560.500
1926-06-01,564.700
1926-07-01,570.100
1926-08-01,573.400
1926-09-01,570.100
1926-10-01,568.000
1926-11-01,565.600
1926-12-01,565.600
1927-01-01,570.100
1927-02-01,574.300
1927-03-01,577.900
1927-04-01,577.900
1927-05-01,573.400
1927-06-01,568.000
1927-07-01,578.800
1927-08-01,582.400
1927-09-01,578.800
1927-10-01,575.500
1927-11-01,576.700
1927-12-01,577.900
1928-01-01,578.800
1928-02-01,584.500
1928-03-01,584.500
1928-04-01,583.300
1928-05-01,580.000
1928-06-01,584.500
1928-07-01,584.500
1928-08-01,583.300
1928-09-01,578.800
1928-10-01,580.000
1928-11-01,581.200
1928-12-01,583.300
1929-01-01,584.500
1929-02-01,585.700
1929-03-01,588.100
1929-04-01,590.200
1929-05-01,586.900
1929-06-01,584.500
1929-07-01,578.800
1929-08-01,576.700
1929-09-01,577.900
1929-10-01,577.900
1929-11-01,578.800
1929-12-01,582.400
1930-01-01,584.500
1930-02-01,586.900
1930-03-01,590.200
1930-04-01,586.900
1930-05-01,590.200
1930-06-01,593.800
1930-07-01,602.100
1930-08-01,605.700
1930-09-01,602.100
1930-10-01,605.700
1930-11-01,610.800
1930-12-01,619.500
1931-01-01,628.800
1931-02-01,638.100
1931-03-01,642.200
1931-04-01,646.400
1931-05-01,653.300
1931-06-01,660.800
1931-07-01,662.000
1931-08-01,663.500
1931-09-01,666.500
1931-10-01,671.000
1931-11-01,678.800
1931-12-01,684.700
1932-01-01,699.100
1932-02-01,709.300
1932-03-01,712.600
1932-04-01,717.700
1932-05-01,728.100
1932-06-01,733.500
1932-07-01,733.500
1932-08-01,742.500
1932-09-01,746.400
1932-10-01,752.100
1932-11-01,755.700
1932-12-01,763.500
1933-01-01,775.400
1933-02-01,787.700
1933-03-01,794.000
1933-04-01,796.100
